surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
268,3,3,False,False,False,True,True,True,True,Bon état,False,False,True,False,1 150 000 TND,"SidiDaouedà
				LaMarsa",https://www.mubawab.tn/fr/a/7778535/maison-%C3%A0-acheter-%C3%A0-sidi-daoued-surface-de-268-m%C2%B2-ascenseur-et-terrasse
330,6,2,False,True,False,True,True,True,False,Nouveau,True,False,True,False,2 100 000 TND,"Gammarthà
				LaMarsa",https://www.mubawab.tn/fr/a/8026171/a-vendre-une-agr%C3%A9able-villa-%C3%A0-gammarth
220,3,3,False,True,False,True,True,True,False,Nouveau,True,False,True,False,720 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8227026/maison-s3-%C3%A0-vendre-hammamet
151,4,1,False,False,False,False,True,True,False,Nouveau,True,False,True,True,770 000 TND,"CitédelaPlageà
				HammamSousse",https://www.mubawab.tn/fr/a/8192783/a-vendre-s3-haut-standing-zone-touristique-kantaoui
400,3,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,370 000 TND,"HoumtSoukà
				HoumtSouk",https://www.mubawab.tn/fr/a/8263643/%C3%A0-vendre-%E2%80%93-jolie-maison-%C3%A0-erriadh
228,4,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,1 090 000 TND,"ElMenzah9à
				ElMenzah",https://www.mubawab.tn/fr/a/8132625/%C3%A0-vendre-villa-s4-el-menzah-8
140,2,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,330 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8150793/a-vendre-maison-s2-ind%C3%A9pendante-%C3%A0-hammamet-nord
476,2,1,False,False,False,False,False,False,False,Nouveau,True,False,False,False,1 650 000 TND,"Erriadhà
				LeKram",https://www.mubawab.tn/fr/a/8270559/a-vendre-penthouse-de-luxe-nich%C3%A9-au-9%C3%A8me-10%C3%A8me
80,1,1,False,False,False,False,False,False,False,Nouveau,True,False,False,False,170 000 TND,"SousseVilleà
				SousseVille",https://www.mubawab.tn/fr/a/8266447/%C3%A0-vendre-%E2%80%94-maison-%C3%A0-r%C3%A9nover-%C3%A0-damlier-en-plein-c%C5%93u
200,3,2,False,False,False,False,False,False,False,À rénover,False,False,False,False,110 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/7990254/villa-inachev%C3%A9e-de-200m%C2%B2-raoued
550,4,2,False,True,False,True,False,False,False,À rénover,False,False,True,False,2 200 000 TND,"Amilcarà
				Carthage",https://www.mubawab.tn/fr/a/8231766/une-opportunit%C3%A9-%C3%A0-ne-pas-rater
110,3,1,False,False,False,False,False,False,False,À rénover,False,False,False,False,125 000 TND,RasJebel,https://www.mubawab.tn/fr/a/8269718/%C3%A0-vendre-une-maison-arabe-%C3%A0-ras-djebal
338,2,Non spécifié,False,False,False,False,False,False,False,Non spécifié,False,False,True,False,450 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8248941/villa-plain-pied-de-338m2-terrain-%C3%A0-cite-ennozha-ariana
70,1,1,False,False,False,True,True,True,False,Bon état,False,False,True,False,550 000 TND,"Neapolisà
				Nabeul",https://www.mubawab.tn/fr/a/8242606/a-vendre-bungalow-s1-avec-jardin-%C3%A0-club-farah-nabeul
210,3,2,False,False,False,False,True,True,False,À rénover,False,False,True,False,2 900 000 TND,"SidiBousaidà
				Carthage",https://www.mubawab.tn/fr/a/7816828/a-vendre-maison-arabesque-s3-%C3%A0-sidi-bou-sa%C3%AFd-tunis
420,6,2,False,False,False,True,False,True,False,À rénover,False,False,False,False,1 179 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/7368126/vente-ennasr-villa-commercial-sur-avenue-principale
100,1,1,False,False,False,False,False,False,False,Bon état,False,False,False,False,100 000 TND,SousseJaouhara,https://www.mubawab.tn/fr/a/8269894/maison-ind%C3%A9pendante-s1-%C3%A0-vendre
5500,3,1,False,True,False,False,True,True,False,Nouveau,True,False,False,False,1 300 000 TND,"Nabeulà
				Nabeul",https://www.mubawab.tn/fr/a/7859791/%C3%A0-vendre-villa-de-ma%C3%AEtre-dans-les-vergers-de-beni-khiar
180,2,1,False,False,False,False,False,False,False,Nouveau,True,False,False,False,140 000 TND,Kélibia,https://www.mubawab.tn/fr/a/7875507/maison-inachev%C3%A9e-avec-garage-%C3%A0-kelibia
378,4,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,1 180 000 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/a/8133433/villa-r2-en-vente
220,6,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,880 000 TND,"LeBardoà
				LeBardo",https://www.mubawab.tn/fr/a/8266038/%C3%A0-vendre-deux-villas-ind%C3%A9pendantes-%E2%80%93-le-bardo
200,4,2,False,False,False,False,False,False,False,À rénover,False,False,True,False,260 000 TND,Hergla,https://www.mubawab.tn/fr/a/8149121/maison-s4-inachev%C3%A9-en-vente
