id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
3051,150,4,1,0,1,1,1,1,0,1,0,1,1,0,795000,1,36.8547834,10.2985614,Ariana
3063,175,3,3,0,1,0,1,1,1,1,0,1,1,0,935000,1,36.8547834,10.2985614,Ariana
3071,201,2,1,0,0,0,0,0,0,1,0,0,0,0,718000,1,36.8547834,10.2985614,Ariana
3072,0,1,1,0,1,1,0,1,1,1,0,1,1,0,340000,1,36.8547834,10.2985614,Ariana
3074,160,3,2,0,1,1,1,1,1,1,0,1,1,0,820000,1,36.8547834,10.2985614,Ariana
3075,120,3,3,0,0,0,0,1,1,1,0,1,1,0,700000,1,36.8547834,10.2985614,Ariana
3076,162,3,2,0,1,1,0,1,0,1,0,1,1,0,825000,1,36.8547834,10.2985614,Ariana
3090,330,4,4,0,1,0,0,1,1,1,0,1,1,0,1828000,1,36.8547834,10.2985614,Ariana
3098,135,3,3,0,1,0,1,1,1,1,0,1,1,0,789000,1,36.8547834,10.2985614,Ariana
3120,165,3,2,0,1,0,2,1,1,1,0,1,1,0,550000,1,36.8547834,10.2985614,Ariana
3123,265,3,3,0,1,0,0,1,1,1,0,1,1,0,1160000,1,36.8547834,10.2985614,Ariana
3143,130,3,1,0,1,0,9,0,1,1,1,0,0,0,650000,1,36.8547834,10.2985614,Ariana
3157,134,2,2,0,1,1,1,1,1,1,0,1,1,0,590000,1,36.8547834,10.2985614,Ariana
3187,117,2,1,0,1,0,3,1,1,1,0,1,1,0,680000,1,36.8547834,10.2985614,Ariana
3243,137,1,1,0,1,0,0,0,0,1,1,1,1,1,860000,1,36.8547834,10.2985614,Ariana
3244,200,3,2,0,1,1,7,1,1,1,0,1,1,0,720000,1,36.8547834,10.2985614,Ariana
3277,60,1,1,0,0,0,0,1,1,1,0,1,1,0,335000,1,36.8547834,10.2985614,Ariana
3303,138,3,2,0,1,1,0,1,1,1,0,1,1,0,760000,1,36.8547834,10.2985614,Ariana
3304,373,5,3,0,1,0,0,1,1,1,1,1,1,0,1500000,1,36.8547834,10.2985614,Ariana
3306,65,1,1,0,1,1,0,1,1,1,0,1,1,0,373000,1,36.8547834,10.2985614,Ariana
3328,160,3,2,0,1,0,0,1,1,1,0,1,1,0,916000,1,36.8547834,10.2985614,Ariana
3329,135,2,3,0,1,1,0,1,1,1,0,1,1,0,620000,1,36.8547834,10.2985614,Ariana
3331,177,3,2,0,1,1,10,1,1,1,1,1,1,0,1044000,1,36.8547834,10.2985614,Ariana
3338,138,2,2,0,1,0,3,1,1,1,0,1,1,0,620000,1,36.8547834,10.2985614,Ariana
3365,150,3,2,0,1,1,0,1,1,1,0,1,1,0,795000,1,36.8547834,10.2985614,Ariana
3383,142,2,1,0,1,1,0,1,0,1,0,0,0,0,730000,1,36.8547834,10.2985614,Ariana
3384,158,3,1,0,1,1,0,0,0,1,0,1,1,0,670000,1,36.8547834,10.2985614,Ariana
3385,113,2,1,0,0,0,0,0,0,1,0,1,1,0,585000,1,36.8547834,10.2985614,Ariana
3404,143,2,1,0,1,1,0,0,0,0,0,1,1,0,870000,1,36.8547834,10.2985614,Ariana
3406,0,1,1,0,1,1,0,1,1,0,0,1,1,0,460000,1,36.8547834,10.2985614,Ariana
3407,156,3,2,0,1,1,0,0,0,1,0,1,1,0,960000,1,36.8547834,10.2985614,Ariana
3410,236,3,4,0,1,1,2,1,1,0,0,1,1,0,1350000,1,36.8547834,10.2985614,Ariana
3413,0,3,2,0,1,1,0,0,1,0,0,1,1,0,620000,1,36.8547834,10.2985614,Ariana
3420,135,2,3,0,1,1,2,1,1,1,0,1,1,0,630000,1,36.8547834,10.2985614,Ariana
3442,61,1,1,0,1,1,0,1,0,1,0,0,0,1,365000,1,36.8547834,10.2985614,Ariana
3458,125,2,2,0,1,1,1,1,1,1,1,1,1,0,680000,1,36.8547834,10.2985614,Ariana
3506,380,3,2,0,0,0,0,0,0,1,0,1,1,0,990000,1,36.8547834,10.2985614,Ariana
3508,142,2,1,0,0,0,0,0,1,1,0,1,1,0,570000,1,36.8547834,10.2985614,Ariana
3540,130,2,1,0,1,0,0,1,1,1,0,1,1,0,733000,1,36.8547834,10.2985614,Ariana
3553,158,3,1,0,0,0,0,1,1,1,0,1,1,1,1850000,1,36.8547834,10.2985614,Ariana
3554,155,3,3,0,1,1,0,1,0,1,0,1,1,0,789000,1,36.8547834,10.2985614,Ariana
3559,90,2,1,0,1,1,2,1,1,1,1,1,1,0,435000,1,36.8547834,10.2985614,Ariana
3579,347,4,1,0,1,0,0,1,0,1,0,0,0,0,1890000,1,36.8547834,10.2985614,Ariana
3580,290,3,3,0,1,1,0,1,1,1,0,1,1,1,1170000,1,36.8547834,10.2985614,Ariana
3590,208,4,2,0,1,1,0,1,1,1,0,1,1,0,930000,1,36.8547834,10.2985614,Ariana
3611,135,2,3,0,0,0,0,1,1,1,0,1,1,0,675000,1,36.8547834,10.2985614,Ariana
3640,0,4,3,0,1,0,0,0,0,1,0,1,1,0,7000,1,36.8547834,10.2985614,Ariana
3706,183,3,1,0,1,0,0,1,0,1,1,0,0,0,700000,1,36.8547834,10.2985614,Ariana
3709,167,3,2,0,0,0,0,0,0,1,0,0,0,0,1090000,1,36.8547834,10.2985614,Ariana
3842,150,3,1,0,1,1,0,1,0,1,0,1,1,0,795000,1,36.8547834,10.2985614,Ariana
