,id,url,titre,categorie,gouvernorat,neuf,source
92,92,https://www.tayara.tn/item/appartements/tunis/tunis/un-duplex-a-cit-omran/68c13f1bc4782c5427afe4cb/,Un duplex a Cité Omran,Appartements,tunis,False,tayara
93,93,https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s2-cit-el-omrane/693a91ed8914daae51998e8d/,Appartement S+2 à Cité El Omrane,Appartements,Monastir,False,tayara
94,94,https://www.tayara.tn/item/maisons-et-villas/mdenine/djerba-midoun/villa-avec-grand-terrain-vendre-route-houmt-souk-djerba/69130e04145e1617cba34269/,villa avec grand terrain à vendre route Houmt souk Djerba,Maisons et Villas,Médenine,False,tayara
95,95,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/a-vendre-rez-de-chausse-de-villa-cit-ain-mariem-bizerte/693a9111cd04d08be749183b/,A Vendre Rez De Chaussée De Villa à Cité Ain Mariem Bizerte,Maisons et Villas,tunis,False,tayara
96,96,https://www.tayara.tn/item/appartements/nabeul/mrezga/a-vendre-un-appartement-s1-dans-une-rsidence-garde-afh2-mrezga-nabeul/69295fa7265523b710ec82ca/,A Vendre Un appartement S+1 dans une résidence gardée à AFH2 Mrezga Nabeul.,Appartements,Nabeul,False,tayara
97,97,https://www.tayara.tn/item/appartements/nabeul/yasmine-hammamet/appartement-neuf-7-minutes-pied-de-la-marina-yassmin-hammamet/693a8f52cd04d08be7491728/,Appartement neuf 7 minutes à pied de la Marina yassmin hammamet,Appartements,Nabeul,False,tayara
98,98,https://www.tayara.tn/item/maisons-et-villas/sousse/sousse-riadh/-1/69243a2a145e1617cbab98a2/,للبيع منزل مستقل بـ حي رياض 1,Maisons et Villas,Sousse,False,tayara
99,99,https://www.tayara.tn/item/appartements/ariana/la-soukra/a-vendre-s0-soukra-tel-56306032-fb6350/693a8f4c8914daae51998d00/,A VENDRE S0 – SOUKRA – TEL 56306032– FB.6350,Appartements,Ariana,False,tayara
100,100,https://www.tayara.tn/item/appartements/sousse/sousse-riadh/-vendre-appartement-rdc-riadh-5-prs-de-toutes-commodits-/68f7492dd0d95991e1019b87/,"🏡 À Vendre – Appartement RDC à Riadh 5, Près de Toutes Commodités !",Appartements,Sousse,False,tayara
101,101,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s2-wahat-tel-56306032-fb7607/693a8ee0cd04d08be74916d6/,A VENDRE S+2 – WAHAT – TEL 56306032 – FB.7607,Appartements,Tunis,False,tayara
102,102,https://www.tayara.tn/item/appartements/ariana/la-soukra/a-vendre-s2-la-nouvelle-soukra-tel-56306032-fb8279/693a8ebc8914daae51998ca6/,A VENDRE – S+2 – LA NOUVELLE SOUKRA – TEL 56306032 – FB.8279,Appartements,Ariana,False,tayara
103,103,https://www.tayara.tn/item/appartements/tunis/cit-olympique/-vendre-appartement-s2-rnov-cit-el-khadhra/693a8e98cd04d08be74916aa/,À Vendre | Appartement S+2 rénové – Cité El Khadhra,Appartements,Tunis,False,tayara
104,104,https://www.tayara.tn/item/maisons-et-villas/ariana/borj-louzir/duplex-s4-titr-ariana/693a8e1d8914daae51998c51/,Duplex S+4 Titré Ariana,Maisons et Villas,Ariana,False,tayara
